,mn,lossValue,Method,replicate,Time,Result
516,m100_n100,0.1,SphyR,s13,0.055,valid
517,m100_n100,0.2,SphyR,s13,0.097,valid
518,m100_n100,0.4,SphyR,s13,0.075,valid
519,m100_n100,0.1,SphyR,s14,0.072,valid
520,m100_n100,0.2,SphyR,s14,0.08,valid
521,m100_n100,0.4,SphyR,s14,0.079,valid
522,m100_n100,0.1,SphyR,s15,0.089,valid
523,m100_n100,0.2,SphyR,s15,0.087,valid
524,m100_n100,0.4,SphyR,s15,0.149,valid
525,m100_n100,0.1,SphyR,s16,0.443,valid
526,m100_n100,0.2,SphyR,s16,0.124,valid
527,m100_n100,0.4,SphyR,s16,0.126,valid
528,m100_n100,0.1,SphyR,s17,0.136,valid
529,m100_n100,0.2,SphyR,s17,0.215,valid
530,m100_n100,0.4,SphyR,s17,0.163,valid
531,m100_n100,0.1,SphyR,s18,0.147,valid
532,m100_n100,0.2,SphyR,s18,0.335,valid
533,m100_n100,0.4,SphyR,s18,0.076,valid
534,m100_n100,0.1,SphyR,s19,0.068,valid
535,m100_n100,0.2,SphyR,s19,0.078,valid
536,m100_n100,0.4,SphyR,s19,0.069,valid
537,m100_n100,0.1,SphyR,s20,0.089,valid
538,m100_n100,0.2,SphyR,s20,0.103,valid
539,m100_n100,0.4,SphyR,s20,0.095,valid
