,mn,lossValue,Method,replicate,Time,Result
102,m25_n50,0.1,SphyR,s15,0.016,valid
103,m25_n50,0.2,SphyR,s15,0.018,valid
104,m25_n50,0.4,SphyR,s15,0.018,valid
105,m25_n50,0.1,SphyR,s16,0.014,valid
106,m25_n50,0.2,SphyR,s16,0.014,valid
107,m25_n50,0.4,SphyR,s16,0.014,valid
108,m25_n50,0.1,SphyR,s17,0.016,valid
109,m25_n50,0.2,SphyR,s17,0.016,valid
110,m25_n50,0.4,SphyR,s17,0.015,valid
111,m25_n50,0.1,SphyR,s18,0.011,valid
112,m25_n50,0.2,SphyR,s18,0.015,valid
113,m25_n50,0.4,SphyR,s18,0.015,valid
114,m25_n50,0.1,SphyR,s19,0.02,valid
115,m25_n50,0.2,SphyR,s19,0.026,valid
116,m25_n50,0.4,SphyR,s19,0.017,valid
117,m25_n50,0.1,SphyR,s20,0.019,valid
118,m25_n50,0.2,SphyR,s20,0.017,valid
119,m25_n50,0.4,SphyR,s20,0.018,valid
120,m25_n100,0.1,SphyR,s1,0.024,valid
121,m25_n100,0.2,SphyR,s1,0.033,valid
122,m25_n100,0.4,SphyR,s1,0.019,valid
123,m25_n100,0.1,SphyR,s2,0.019,valid
124,m25_n100,0.2,SphyR,s2,0.03,valid
125,m25_n100,0.4,SphyR,s2,0.02,valid
126,m25_n100,0.1,SphyR,s3,0.043,valid
127,m25_n100,0.2,SphyR,s3,0.02,valid
128,m25_n100,0.4,SphyR,s3,0.021,valid
129,m25_n100,0.1,SphyR,s4,0.034,valid
130,m25_n100,0.2,SphyR,s4,0.031,valid
131,m25_n100,0.4,SphyR,s4,0.022,valid
132,m25_n100,0.1,SphyR,s5,0.021,valid
133,m25_n100,0.2,SphyR,s5,0.042,valid
134,m25_n100,0.4,SphyR,s5,0.027,valid
135,m25_n100,0.1,SphyR,s6,0.018,valid
136,m25_n100,0.2,SphyR,s6,0.041,valid
137,m25_n100,0.4,SphyR,s6,0.024,valid
138,m25_n100,0.1,SphyR,s7,0.018,valid
139,m25_n100,0.2,SphyR,s7,0.019,valid
140,m25_n100,0.4,SphyR,s7,0.017,valid
141,m25_n100,0.1,SphyR,s8,0.019,valid
142,m25_n100,0.2,SphyR,s8,0.037,valid
143,m25_n100,0.4,SphyR,s8,0.024,valid
144,m25_n100,0.1,SphyR,s9,0.018,valid
145,m25_n100,0.2,SphyR,s9,0.018,valid
146,m25_n100,0.4,SphyR,s9,0.015,valid
147,m25_n100,0.1,SphyR,s10,0.018,valid
148,m25_n100,0.2,SphyR,s10,0.018,valid
149,m25_n100,0.4,SphyR,s10,0.017,valid
150,m25_n100,0.1,SphyR,s11,0.034,valid
151,m25_n100,0.2,SphyR,s11,0.019,valid
152,m25_n100,0.4,SphyR,s11,0.027,valid
153,m25_n100,0.1,SphyR,s12,0.053,valid
154,m25_n100,0.2,SphyR,s12,0.036,valid
155,m25_n100,0.4,SphyR,s12,0.039,valid
156,m25_n100,0.1,SphyR,s13,0.03,valid
157,m25_n100,0.2,SphyR,s13,0.019,valid
158,m25_n100,0.4,SphyR,s13,0.021,valid
159,m25_n100,0.1,SphyR,s14,0.029,valid
160,m25_n100,0.2,SphyR,s14,0.038,valid
161,m25_n100,0.4,SphyR,s14,0.041,valid
162,m25_n100,0.1,SphyR,s15,0.023,valid
163,m25_n100,0.2,SphyR,s15,0.024,valid
164,m25_n100,0.4,SphyR,s15,0.025,valid
165,m25_n100,0.1,SphyR,s16,0.015,valid
166,m25_n100,0.2,SphyR,s16,0.016,valid
167,m25_n100,0.4,SphyR,s16,0.014,valid
168,m25_n100,0.1,SphyR,s17,0.017,valid
169,m25_n100,0.2,SphyR,s17,0.025,valid
170,m25_n100,0.4,SphyR,s17,0.016,valid
171,m25_n100,0.1,SphyR,s18,0.019,valid
172,m25_n100,0.2,SphyR,s18,0.02,valid
173,m25_n100,0.4,SphyR,s18,0.028,valid
174,m25_n100,0.1,SphyR,s19,0.045,valid
175,m25_n100,0.2,SphyR,s19,0.033,valid
176,m25_n100,0.4,SphyR,s19,0.023,valid
177,m25_n100,0.1,SphyR,s20,0.026,valid
178,m25_n100,0.2,SphyR,s20,0.039,valid
179,m25_n100,0.4,SphyR,s20,0.036,valid
180,m50_n25,0.1,SphyR,s1,0.01,valid
181,m50_n25,0.2,SphyR,s1,0.009,valid
